accelerometer.txt

All values are in SI units (m/s^2).
http://developer.android.com/guide/topics/sensors/sensors_overview.html

elapsed-time-system elapsed-time-sensor x y z
2.453 2.450 0.12449849 0.1340753 8.580819
2.472 2.470 -0.36391866 0.22984336 10.113108
2.493 2.491 -0.36391866 0.24420857 9.380483
2.514 2.511 -0.47884035 0.18195933 9.868899
2.538 2.531 -0.56982 0.16759412 10.060435
2.554 2.551 -0.2681506 0.2825158 9.610326
2.574 2.572 -0.17717093 0.20590134 9.528923
2.594 2.592 -0.21547815 0.25378537 9.56723
2.615 2.612 -0.23942018 0.22026655 9.610326
2.635 2.633 -0.10055647 -0.45489833 14.705187
2.656 2.653 -0.30166942 0.30166942 9.370906
2.676 2.673 -0.45489833 0.2681506 9.23683
2.696 2.693 -0.35434186 0.22505496 9.782708
2.716 2.714 -1.316811 0.49799395 9.581595
2.737 2.734 -0.45489833 0.16759412 10.041282
2.758 2.754 -0.45010993 0.2681506 9.878476
2.777 2.775 0.04309563 0.15801731 9.744401
2.797 2.795 0.56982 0.04309563 9.921572
2.817 2.815 -0.22984336 0.18195933 9.610326
2.842 2.835 -0.32561144 0.15322891 9.859323
2.858 2.856 -0.31124622 0.2681506 9.821015
2.878 2.876 -0.2681506 0.20590134 9.763555
2.899 2.896 -0.29688102 0.20111294 9.77792
2.919 2.917 -0.24420857 0.23463176 9.758766
2.940 2.937 -0.39743748 0.272939 9.935937
2.960 2.957 -0.1388637 0.19632454 9.653421
2.980 2.977 -0.32561144 0.24899697 9.859323
3.000 2.998 -0.18674773 0.19632454 9.667787
3.023 3.018 -0.2681506 0.24899697 9.816227
3.044 3.038 -0.30645782 0.2633622 9.849746
3.067 3.059 -0.24899697 0.17717093 9.80665
3.085 3.079 -0.31603462 0.23942018 9.782708
3.102 3.099 -0.22026655 0.25857377 9.730036
3.122 3.119 -0.272939 0.24420857 9.825804
3.148 3.139 -0.2633622 0.20590134 9.811439
3.163 3.160 -0.320823 0.21547815 9.854534
3.185 3.180 -0.23942018 0.2825158 9.763555
3.204 3.200 -0.272939 0.22026655 9.811439
3.224 3.220 -0.29209262 0.20590134 9.77792
3.244 3.240 -0.30645782 0.25857377 9.787497
3.264 3.260 -0.2777274 0.25378537 9.825804
3.284 3.281 -0.31603462 0.21068975 9.811439
3.305 3.301 -0.30166942 0.22026655 9.696517
3.324 3.321 -0.2681506 0.24899697 9.758766
3.344 3.341 -0.16759412 0.29209262 9.710882
3.366 3.361 1.2401965 0.6991069 9.643845
3.387 3.381 -0.4405331 0.21068975 10.151415
3.405 3.401 -0.6799533 0.1436521 9.825804
3.425 3.422 -0.46926352 0.23942018 9.706094
3.446 3.442 -1.5514427 0.21068975 10.012551
3.466 3.462 -0.08619126 -0.08140286 9.701305
3.489 3.482 0.15801731 0.39264908 9.730036
3.507 3.502 -1.5610195 -0.08619126 9.667787
3.526 3.522 -0.4213795 -0.1340753 9.77792
3.546 3.543 -0.10534488 -0.521936 9.935937
3.566 3.563 0.29688102 -0.4357447 9.988609
3.587 3.583 -0.31603462 0.45968673 10.0029745
3.611 3.603 -0.48841715 -0.5506664 9.543288
3.627 3.623 -0.58897364 -0.37828386 10.084377
3.647 3.643 -0.50278234 0.08140286 10.927136
3.669 3.664 -0.33518824 0.10534488 11.281479
3.688 3.684 -0.29688102 0.49799395 11.707646
3.707 3.704 -0.31603462 0.19632454 11.808203
3.727 3.724 -0.23942018 0.272939 10.55843
3.748 3.744 -0.08619126 0.35913026 10.70687
3.768 3.764 -0.2681506 0.5793968 11.137826
3.788 3.785 -0.25378537 0.5650316 10.563218
3.808 3.805 -0.07182605 0.21547815 9.677363
3.829 3.825 -0.095768064 0.48841715 9.792285
3.849 3.845 -0.48362875 0.6655881 10.726024
3.869 3.865 -0.1436521 0.5602432 11.434708
3.890 3.885 -0.23942018 0.58897364 10.821792
3.910 3.906 -0.23942018 0.62728083 10.290278
3.929 3.926 -0.58418524 0.46447513 10.184934
3.949 3.946 -0.7469909 0.5410896 9.974244
3.969 3.966 -0.31603462 0.25378537 9.864111
3.990 3.986 -0.61770403 0.2825158 10.261548
4.010 4.006 -0.7038953 0.10055647 10.204087
4.030 4.026 -0.22505496 0.4261679 10.409989
4.050 4.047 -0.023942016 0.3878607 9.983821
4.070 4.067 -0.10055647 0.4309563 9.92636
4.091 4.087 -0.31124622 0.33039984 10.031705
4.110 4.107 0.12928689 0.023942016 10.0269165
4.131 4.127 -0.25378537 0.076614454 10.0748005
4.151 4.148 -0.48362875 0.25378537 10.065224
4.171 4.168 -0.24899697 0.18195933 10.433931
4.191 4.188 0.35913026 0.4261679 9.9790325
4.213 4.208 0.31603462 0.45010993 9.169792
4.232 4.228 0.023942016 0.2873042 9.279925
4.252 4.248 -0.89064306 -0.39743748 9.720459
4.272 4.268 -0.45489833 0.2633622 9.787497
4.295 4.289 -0.4261679 -0.10055647 9.821015
4.313 4.309 -0.21547815 -0.30645782 9.414001
4.332 4.329 -1.091756 -0.17717093 10.041282
4.353 4.349 -1.2976574 -0.4165911 10.180145
4.373 4.369 -0.07182605 -0.02873042 9.691729
4.395 4.389 -0.34955344 0.17717093 9.121908
4.414 4.410 0.37828386 0.8714894 8.700529
4.434 4.430 -0.05746084 0.49320555 9.346964
4.453 4.450 -1.0151415 -0.10534488 8.6334915
4.473 4.470 -0.6847417 -0.35913026 8.082825
4.498 4.490 -1.1492168 -0.047884032 9.14585
4.518 4.510 -2.0254946 -0.48841715 9.744401
4.534 4.531 -1.8052281 -0.78529817 10.01734
4.555 4.551 -1.3694834 -0.047884032 9.864111
4.574 4.571 -1.2162545 0.4165911 9.629479
4.595 4.591 -1.4987702 0.12928689 9.323022
4.615 4.611 -1.436521 0.08140286 8.892065
4.635 4.631 -0.31124622 0.61770403 8.63828
4.655 4.651 -0.33039984 1.0247183 8.743625
4.675 4.672 -0.90979666 0.5267244 9.572019
4.695 4.692 -0.58418524 0.46926352 9.26556
4.716 4.712 -0.7134721 0.5410896 9.064447
4.737 4.732 -0.93373865 0.08619126 9.481039
4.757 4.752 -0.7278373 0.4261679 9.246407
4.776 4.773 0.2825158 -0.2777274 8.944737
4.796 4.793 0.090979666 0.5506664 8.48984
4.821 4.813 -0.062249243 0.1388637 9.370906
4.837 4.833 -0.29209262 0.2777274 9.749189
4.858 4.853 0.02873042 0.095768064 9.629479
4.877 4.873 -0.18195933 0.4261679 9.959879
4.897 4.893 -0.34476504 0.18195933 10.04607
4.917 4.914 -0.48362875 0.2873042 10.424355
4.937 4.934 -0.37828386 0.37349546 10.237606
4.957 4.954 -0.4309563 -0.062249243 10.022128
4.978 4.974 -0.7757214 0.090979666 10.1226845
4.997 4.994 -0.5602432 0.4405331 9.835381
5.019 5.015 -0.05746084 0.08140286 9.232041
5.043 5.035 -0.08140286 0.31124622 9.509769
5.059 5.055 -0.4165911 0.36870706 10.113108
5.078 5.075 -0.36870706 0.18674773 10.0748005
5.098 5.095 -0.17717093 0.023942016 9.5385
5.127 5.115 0.08140286 -0.047884032 9.232041
5.139 5.135 0.05746084 -0.19632454 9.672575
5.159 5.156 0.01436521 0.01436521 9.797073
5.180 5.176 0.038307227 0.10055647 9.457097
5.200 5.196 0.30166942 -0.062249243 9.222465
5.220 5.216 0.2681506 -0.033518825 9.490616
5.240 5.236 0.22984336 -0.047884032 9.275137
5.261 5.256 0.272939 -0.19153613 9.179369
5.280 5.276 0.25857377 0.023942016 9.069236
5.300 5.297 -0.29209262 0.5554548 9.255983
5.321 5.317 -0.45968673 0.37349546 9.964667
5.346 5.337 -0.30166942 0.10055647 9.868899
5.361 5.357 -0.14844051 -0.32561144 9.730036
5.381 5.377 0.16759412 -0.51235914 9.605537
5.402 5.398 0.06703765 -0.12928689 9.294291
5.421 5.418 -0.37349546 0.39264908 9.557653
5.441 5.438 -0.4261679 0.33039984 9.744401
5.461 5.458 -0.05267244 -0.08619126 9.433155
5.481 5.478 -0.15322891 -0.02873042 9.65821
5.502 5.498 -0.1340753 0.033518825 9.720459
5.523 5.518 -0.22026655 0.23942018 9.835381
5.542 5.539 -0.272939 0.25378537 9.68694
5.562 5.559 -0.29209262 0.33997664 9.337387
5.583 5.579 -0.076614454 0.29209262 9.452309
5.603 5.599 -0.2873042 0.2825158 9.763555
5.623 5.619 -0.32561144 0.33039984 9.437943
5.650 5.639 -0.30645782 0.33518824 9.840169
5.665 5.660 -0.35434186 0.20111294 10.352529
5.683 5.680 -0.6655881 0.23942018 10.429143
5.704 5.700 -0.6943185 0.36391866 10.386047
5.723 5.720 -0.61291564 0.21547815 10.113108
5.745 5.740 -0.51714754 0.023942016 10.036493
5.765 5.761 -0.7374141 0.18674773 10.213664
5.784 5.780 -0.7326257 0.31603462 10.443508
5.805 5.801 -0.33997664 -0.1436521 10.146626
5.825 5.821 -0.33518824 -0.019153614 9.921572
5.844 5.841 -0.6703765 0.545878 10.1226845
5.865 5.861 -0.78050977 0.50757074 9.945514
5.885 5.881 -0.37349546 0.16759412 9.696517
5.905 5.901 -0.033518825 -0.35913026 9.983821
5.926 5.922 -0.2777274 0.22984336 9.988609
5.945 5.942 -0.1436521 0.10055647 9.758766
5.969 5.962 0.05746084 0.01436521 9.481039
5.986 5.982 -0.80924016 0.9624691 9.528923
6.007 6.002 -0.6895301 0.6512229 9.160215
6.026 6.022 -0.7469909 0.521936 9.648633
6.047 6.043 -0.272939 -0.30166942 10.596737
6.068 6.063 -0.33518824 0.009576807 11.195287
6.087 6.083 -0.6368576 0.095768064 10.989386
6.108 6.103 -0.3878607 -0.2825158 10.601525
6.130 6.123 -0.4357447 -0.20111294 10.0029745
6.147 6.143 -0.47884035 0.019153614 9.763555
6.173 6.164 -0.7565677 0.10534488 10.213664
6.190 6.184 -0.79008657 0.10534488 10.160992
6.208 6.204 -0.6847417 -0.30645782 9.983821
6.228 6.224 -1.0007763 -0.41180268 9.557653
6.248 6.244 -1.412579 -0.01436521 9.303867
6.276 6.265 -1.5275006 0.08140286 9.394848
6.288 6.285 -1.3263878 -0.30645782 9.528923
6.309 6.305 -1.340753 -0.51714754 9.514558
6.328 6.325 -1.2258313 -0.5602432 9.5385
6.349 6.345 -1.4700398 -0.30166942 9.921572
6.369 6.365 -1.4652514 -0.15322891 10.012551
6.389 6.385 -1.4221559 -0.25857377 9.160215
6.412 6.406 -1.0869676 -0.30166942 8.714894
6.430 6.425 -1.2401965 -0.15801731 8.686164
6.449 6.446 -1.4030021 -0.11971009 8.710106
6.470 6.466 -1.2737153 -0.16759412 8.39886
6.498 6.486 -1.2114661 -0.17717093 8.676587
6.511 6.506 -1.3072342 -0.02873042 9.102755
6.532 6.527 -1.3982137 -0.019153614 9.299079
6.551 6.547 -1.4269443 -0.12928689 9.251195
6.571 6.567 -1.4077905 -0.033518825 9.251195
6.592 6.587 -1.3694834 0.21068975 9.457097
6.612 6.607 -1.5035586 0.34476504 9.758766
6.632 6.627 -1.2785037 0.15801731 9.653421
6.652 6.648 -0.9720459 0.19153613 8.939949
6.671 6.668 -0.92895025 0.33997664 9.126697
6.692 6.688 -1.0055647 0.51235914 9.428367
6.712 6.708 -1.1109096 0.45010993 9.825804
6.732 6.728 -1.1492168 0.34476504 10.213664
6.752 6.748 -0.91937345 0.40701428 10.500969
6.772 6.768 -0.9624691 0.272939 10.611102
6.798 6.789 -0.7757214 0.33997664 10.6877165
6.813 6.809 -0.9959879 0.521936 10.625467
6.833 6.829 -0.79008657 0.51235914 10.500969
6.853 6.849 -0.78050977 0.5267244 10.788273
6.873 6.869 -1.0342951 0.5746084 11.123461
6.894 6.889 -0.9768343 0.40701428 11.33894
6.913 6.909 -0.9959879 0.22026655 11.075577
6.934 6.930 -0.92895025 0.10534488 10.941502
6.954 6.950 -0.9959879 0.33997664 11.415554
6.973 6.970 -0.9768343 0.20111294 11.496957
6.994 6.990 -0.7469909 0.1340753 11.008539
7.018 7.010 -0.51714754 0.20590134 10.371682
7.037 7.030 -0.4309563 0.36391866 9.639056
7.054 7.051 -0.12928689 0.23463176 9.313444
7.074 7.071 -0.17717093 0.11971009 9.083601
7.094 7.091 -0.50757074 -0.15801731 9.394848
7.115 7.111 -0.6991069 -0.56982 10.022128
7.136 7.131 -0.8619126 -0.34476504 10.242394
7.155 7.151 -0.7374141 -0.19632454 9.385271
7.175 7.172 -0.7565677 -0.01436521 8.461109
7.195 7.192 -0.6847417 -0.02873042 8.087613
7.215 7.212 -0.47884035 -0.11971009 8.101978
7.239 7.232 -0.545878 -0.12449849 8.78672
7.259 7.252 -0.521936 -0.023942016 9.485827
7.277 7.272 -0.47884035 -0.05746084 9.572019
7.297 7.293 -0.4165911 0.11971009 9.308656
7.324 7.313 -0.44532153 0.35434186 8.983045
7.337 7.333 -0.50278234 0.47405192 8.968679
7.356 7.353 -0.61770403 0.4405331 9.141062
7.378 7.373 -0.5554548 0.49320555 9.519346
7.398 7.393 -0.5554548 0.61770403 9.198523
7.418 7.414 -0.7230489 0.6895301 9.308656
7.438 7.434 -0.7182605 0.7086837 9.299079
7.457 7.454 -0.90021986 0.8571242 9.576807
7.480 7.474 -0.7757214 0.9959879 9.576807
7.498 7.494 -0.6607997 0.9672575 9.490616
7.518 7.514 -0.59855044 0.866701 9.720459
7.538 7.534 -0.49799395 1.0007763 9.902418
7.562 7.555 -0.7565677 1.163582 10.314221
7.578 7.575 -0.7134721 1.2497733 10.658986
7.599 7.595 -0.8619126 1.1875241 10.778696
7.618 7.615 -0.80445176 0.92416185 10.682928
7.645 7.635 -0.7469909 0.7374141 11.032481
7.660 7.656 -0.79487497 0.6703765 11.616667
7.680 7.676 -0.7134721 0.545878 12.0332575
7.700 7.696 -0.7661445 0.5267244 12.038046
7.720 7.716 -0.8714894 0.5602432 11.420342
7.741 7.736 -0.90979666 0.5602432 10.448297
7.760 7.756 -1.1540052 0.91458505 9.940725
7.783 7.776 -1.2401965 0.9528923 9.854534
7.800 7.797 -0.93373865 0.61770403 9.864111
7.820 7.817 -0.81402856 -0.033518825 9.998186
7.843 7.837 -0.63206923 -0.30166942 10.462662
7.861 7.857 -0.49799395 -0.20111294 10.424355
7.881 7.877 -0.12928689 0.062249243 9.313444
7.902 7.898 -0.10055647 0.41180268 8.149862
7.921 7.917 0.038307227 0.5315128 7.201759
7.945 7.938 0.076614454 0.272939 7.369353
7.963 7.958 0.05746084 -0.22026655 8.231265
7.982 7.978 -0.20111294 -0.22026655 9.394848
8.002 7.998 -0.23463176 0.02873042 9.591172
8.022 8.018 -0.31124622 0.076614454 8.882488
8.042 8.039 -0.20111294 0.23463176 8.173804
8.063 8.059 -0.05267244 0.34955344 7.8865004
8.083 8.079 -0.08619126 0.5315128 8.374918
8.105 8.099 -0.21547815 0.62249243 9.294291
8.122 8.119 -0.08619126 0.5315128 9.634268
8.143 8.139 0.090979666 0.45010993 9.375694
8.168 8.159 0.12928689 0.7422025 9.361329
8.183 8.180 0.04309563 1.163582 9.409213
8.204 8.200 -0.22026655 1.2258313 10.132261
8.225 8.220 -0.11971009 1.2880806 10.682928
8.244 8.240 0.076614454 1.3215994 10.606314
8.265 8.260 0.076614454 1.1204864 10.726024
8.284 8.280 0.0047884034 1.0055647 10.82658
8.305 8.301 0.12449849 0.7469909 11.066
8.326 8.321 0.11492168 0.6991069 11.209652
8.344 8.341 0.08619126 0.59376204 11.310209
8.365 8.361 0.076614454 0.6847417 11.348516
8.385 8.381 0.20590134 0.866701 10.860099
8.405 8.401 0.22505496 0.8331822 10.366894
8.425 8.422 0.44532153 0.8571242 9.452309
8.445 8.442 0.47884035 0.641646 8.939949
8.473 8.462 0.38307226 0.15322891 9.485827
8.488 8.482 -0.21547815 -0.23463176 11.18571
8.507 8.502 -0.37828386 0.11971009 11.420342
